Employee_ID,Name,Department,Years_Experience,Current_Project_ID,Location,Experience_Text,Skills,Experience_Level,All_Skills,Has_Current_Project
E113,David Cox,Data Science,1.9,,Chennai,"Worked on projects involving Java, Healthcare Analytics, and Network Security. Delivered solutions for retail domain.",java healthcare analytics network security involving java healthcare analytics network security,Junior,java healthcare analytics network security involving java healthcare analytics network security,False
E114,John Woods,DevOps,6.4,,Pune,"Worked on projects involving Microservices Architecture, Microservices Architecture, and .Net. Delivered solutions for telecom domain.",microservices architecture microservices architecture involving microservices architecture microservices architecture,Mid-Level,microservices architecture microservices architecture involving microservices architecture microservices architecture,False
E115,Heather Walker,AI Research,4.1,,Pune,"Worked on projects involving GraphQL API Development, Edge Computing, and Java. Delivered solutions for insurance domain.",graphql api development edge computing java involving graphql api development edge computing java,Mid-Level,graphql api development edge computing java involving graphql api development edge computing java,False
E116,Eric Jones,Data Science,1.9,,Chennai,"Worked on projects involving Machine Learning, CI/CD, and Serverless Architecture. Delivered solutions for finance domain.",machine learning ci/cd serverless architecture involving machine learning ci/cd serverless architecture,Junior,machine learning ci/cd serverless architecture involving machine learning ci/cd serverless architecture,False
E117,Andrea Townsend,AI Research,9.1,,Pune,"Worked on projects involving Python, AWS, and Data Privacy Compliance. Delivered solutions for retail domain.",python aws data privacy compliance involving python aws data privacy compliance,Senior,python aws data privacy compliance involving python aws data privacy compliance,False
E118,Kimberly Leach,AI Research,11.6,,Chennai,"Worked on projects involving Jenkins, IoT, and Healthcare Analytics. Delivered solutions for telecom domain.",jenkins iot healthcare analytics involving jenkins iot healthcare analytics,Senior,jenkins iot healthcare analytics involving jenkins iot healthcare analytics,False
E119,Brandy Oneal,Software Development,1.7,,Mumbai,"Worked on projects involving Kubernetes, Healthcare Analytics, and Real-time Data Processing. Delivered solutions for telecom domain.",kubernetes healthcare analytics real-time data processing involving kubernetes healthcare analytics real-time data processing,Junior,kubernetes healthcare analytics real-time data processing involving kubernetes healthcare analytics real-time data processing,False
E120,Samuel Gomez,AI Research,2.0,,Chennai,"Worked on projects involving Microservices Architecture, Microservices, and Azure. Delivered solutions for insurance domain.",microservices architecture microservices azure involving microservices architecture microservices azure,Junior,microservices architecture microservices azure involving microservices architecture microservices azure,False
E121,Richard Scott,Data Science,9.1,,Delhi,"Worked on projects involving Jenkins, Data Visualization, and Azure. Delivered solutions for retail domain.",jenkins data visualization azure involving jenkins data visualization azure,Senior,jenkins data visualization azure involving jenkins data visualization azure,False
E122,James Jones,AI Research,1.8,,Mumbai,"Worked on projects involving DevOps Practices, Data Quality Management, and Data Visualization. Delivered solutions for finance domain.",devops practices data quality management data visualization involving devops practices data quality management data visualization,Junior,devops practices data quality management data visualization involving devops practices data quality management data visualization,False
E123,Joshua Daugherty,AI Research,13.1,,Delhi,"Worked on projects involving Python, Cloud Security, and GraphQL. Delivered solutions for finance domain.",python cloud security graphql involving python cloud security graphql,Expert,python cloud security graphql involving python cloud security graphql,False
E124,Whitney Prince,Software Development,10.9,,Delhi,"Worked on projects involving Node.js, IoT, and Cybersecurity. Delivered solutions for insurance domain.",node involving node,Senior,node involving node,False
E125,Tiffany Winters,AI Research,1.7,,Chennai,"Worked on projects involving Docker, Network Security, and Edge Computing. Delivered solutions for telecom domain.",docker network security edge computing involving docker network security edge computing,Junior,docker network security edge computing involving docker network security edge computing,False
E126,Ernest Pierce,Cybersecurity,10.8,,Chennai,"Worked on projects involving Scrum Methodology, Machine Learning, and Data Visualization. Delivered solutions for telecom domain.",scrum methodology machine learning data visualization involving scrum methodology machine learning data visualization,Senior,scrum methodology machine learning data visualization involving scrum methodology machine learning data visualization,False
E127,Deborah Simmons,Software Development,14.2,,Pune,"Worked on projects involving PostgreSQL, GraphQL API Development, and TensorFlow. Delivered solutions for finance domain.",postgresql graphql api development tensorflow involving postgresql graphql api development tensorflow,Expert,postgresql graphql api development tensorflow involving postgresql graphql api development tensorflow,False
E128,Paul Glenn,Data Science,13.2,,Mumbai,"Worked on projects involving Mobile Development, Machine Learning, and Scrum. Delivered solutions for retail domain.",mobile development machine learning scrum involving mobile development machine learning scrum,Expert,mobile development machine learning scrum involving mobile development machine learning scrum,False
E129,Sharon Miller,Cloud Engineering,1.2,,Mumbai,"Worked on projects involving Data Warehousing, Healthcare Analytics, and Healthcare Analytics. Delivered solutions for finance domain.",data warehousing healthcare analytics healthcare analytics involving data warehousing healthcare analytics healthcare analytics,Junior,data warehousing healthcare analytics healthcare analytics involving data warehousing healthcare analytics healthcare analytics,False
E130,Joseph Byrd,Data Science,11.4,,Mumbai,"Worked on projects involving NoSQL, React, and Edge Computing. Delivered solutions for healthcare domain.",nosql react edge computing involving nosql react edge computing,Senior,nosql react edge computing involving nosql react edge computing,False
E131,David Roberts,Data Science,7.5,,Mumbai,"Worked on projects involving Container Orchestration, Data Governance, and Data Quality Management. Delivered solutions for insurance domain.",container orchestration data governance data quality management involving container orchestration data governance data quality management,Senior,container orchestration data governance data quality management involving container orchestration data governance data quality management,False
E132,Kathleen Parker,Software Development,2.2,,Chennai,"Worked on projects involving IoT, PostgreSQL, and TensorFlow. Delivered solutions for healthcare domain.",iot postgresql tensorflow involving iot postgresql tensorflow,Junior,iot postgresql tensorflow involving iot postgresql tensorflow,False
E133,Edwin Smith,DevOps,9.5,,Delhi,"Worked on projects involving .Net, .Net, and Microservices. Delivered solutions for insurance domain.",involving,Senior,involving,False
E134,Gabriel Gordon,Software Development,8.8,,Pune,"Worked on projects involving Node.js, Kubernetes, and Kubernetes. Delivered solutions for retail domain.",node involving node,Senior,node involving node,False
E135,Ivan Cannon,AI Research,12.0,,Delhi,"Worked on projects involving Python, Microservices Architecture, and Penetration Testing. Delivered solutions for healthcare domain.",python microservices architecture penetration testing involving python microservices architecture penetration testing,Expert,python microservices architecture penetration testing involving python microservices architecture penetration testing,False
E136,Corey Rodriguez,Cloud Engineering,9.4,,Delhi,"Worked on projects involving Incident Response, AWS, and Business Intelligence. Delivered solutions for telecom domain.",incident response aws business intelligence involving incident response aws business intelligence,Senior,incident response aws business intelligence involving incident response aws business intelligence,False
E137,Frank Snyder,Data Science,8.7,,Pune,"Worked on projects involving Real-time Data Processing, Data Privacy Compliance, and Quantum Computing. Delivered solutions for insurance domain.",real-time data processing data privacy compliance quantum computing involving real-time data processing data privacy compliance quantum computing,Senior,real-time data processing data privacy compliance quantum computing involving real-time data processing data privacy compliance quantum computing,False
E138,Bruce Tapia,Data Science,7.4,,Chennai,"Worked on projects involving GraphQL, REST APIs, and PostgreSQL. Delivered solutions for insurance domain.",graphql rest apis postgresql involving graphql rest apis postgresql,Senior,graphql rest apis postgresql involving graphql rest apis postgresql,False
E139,Maria Donaldson,DevOps,13.5,,Mumbai,"Worked on projects involving .Net, Incident Response, and Microservices. Delivered solutions for retail domain.",involving,Expert,involving,False
E140,Danielle Cannon,Data Science,7.1,,Delhi,"Worked on projects involving NLP, Data Visualization, and UI/UX Design. Delivered solutions for finance domain.",nlp data visualization ui/ux design involving nlp data visualization ui/ux design,Senior,nlp data visualization ui/ux design involving nlp data visualization ui/ux design,False
E141,Michele Mcneil DVM,Cybersecurity,1.4,,Mumbai,"Worked on projects involving Data Mesh Architecture, Big Data, and Azure. Delivered solutions for telecom domain.",data mesh architecture big data azure involving data mesh architecture big data azure,Junior,data mesh architecture big data azure involving data mesh architecture big data azure,False
E142,Frank Reese,Cloud Engineering,5.4,,Pune,"Worked on projects involving Scrum, DevOps Practices, and Machine Learning. Delivered solutions for retail domain.",scrum devops practices machine learning involving scrum devops practices machine learning,Mid-Level,scrum devops practices machine learning involving scrum devops practices machine learning,False
E143,Steven Mcclain,Software Development,11.7,,Pune,"Worked on projects involving Data Visualization, NLP, and Cloud Security. Delivered solutions for finance domain.",data visualization nlp cloud security involving data visualization nlp cloud security,Senior,data visualization nlp cloud security involving data visualization nlp cloud security,False
E144,Julie Mullen,Data Science,6.1,,Pune,"Worked on projects involving Java, SQL, and .Net. Delivered solutions for insurance domain.",java sql involving java sql,Mid-Level,java sql involving java sql,False
E145,George Buck,Cybersecurity,7.4,,Pune,"Worked on projects involving SQL, Real-time Data Processing, and Data Privacy Compliance. Delivered solutions for healthcare domain.",sql real-time data processing data privacy compliance involving sql real-time data processing data privacy compliance,Senior,sql real-time data processing data privacy compliance involving sql real-time data processing data privacy compliance,False
E146,Pamela Martinez,Cloud Engineering,1.6,,Delhi,"Worked on projects involving NoSQL, Data Warehousing, and React. Delivered solutions for healthcare domain.",nosql data warehousing react involving nosql data warehousing react,Junior,nosql data warehousing react involving nosql data warehousing react,False
E147,Daniel Reed,DevOps,8.6,,Delhi,"Worked on projects involving Data Mesh Architecture, Data Privacy Compliance, and Agile Project Management. Delivered solutions for healthcare domain.",data mesh architecture data privacy compliance agile management involving data mesh architecture data privacy compliance agile management,Senior,data mesh architecture data privacy compliance agile management involving data mesh architecture data privacy compliance agile management,False
E148,Justin West,DevOps,11.2,,Mumbai,"Worked on projects involving Microservices Architecture, .Net, and Agile. Delivered solutions for finance domain.",microservices architecture involving microservices architecture,Senior,microservices architecture involving microservices architecture,False
E149,Michaela Ellis PhD,Software Development,8.4,,Mumbai,"Worked on projects involving Container Orchestration, Real-time Data Processing, and Cybersecurity. Delivered solutions for finance domain.",container orchestration real-time data processing cybersecurity involving container orchestration real-time data processing cybersecurity,Senior,container orchestration real-time data processing cybersecurity involving container orchestration real-time data processing cybersecurity,False
E150,Nicholas Elliott,Cloud Engineering,10.7,,Delhi,"Worked on projects involving Blockchain, DevOps Practices, and Terraform. Delivered solutions for finance domain.",blockchain devops practices terraform involving blockchain devops practices terraform,Senior,blockchain devops practices terraform involving blockchain devops practices terraform,False
E151,Elizabeth Glenn,Cybersecurity,2.7,,Chennai,"Worked on projects involving Azure, Serverless Architecture, and Big Data. Delivered solutions for retail domain.",azure serverless architecture big data involving azure serverless architecture big data,Junior,azure serverless architecture big data involving azure serverless architecture big data,False
E152,Timothy Lane,Data Science,1.3,,Chennai,"Worked on projects involving Node.js, Edge Computing, and NoSQL Database Management. Delivered solutions for finance domain.",node involving node,Junior,node involving node,False
E153,Jamie Wilson,Software Development,1.4,,Mumbai,"Worked on projects involving REST APIs, Python, and Kubernetes. Delivered solutions for retail domain.",rest apis python kubernetes involving rest apis python kubernetes,Junior,rest apis python kubernetes involving rest apis python kubernetes,False
E154,Mark Snow,AI Research,10.4,,Pune,"Worked on projects involving Scrum Methodology, UI/UX Design, and DevOps Practices. Delivered solutions for finance domain.",scrum methodology ui/ux design devops practices involving scrum methodology ui/ux design devops practices,Senior,scrum methodology ui/ux design devops practices involving scrum methodology ui/ux design devops practices,False
E155,Nathan Lucas,Cloud Engineering,5.8,,Delhi,"Worked on projects involving Data Quality Management, Data Privacy Compliance, and DevOps Practices. Delivered solutions for healthcare domain.",data quality management data privacy compliance devops practices involving data quality management data privacy compliance devops practices,Mid-Level,data quality management data privacy compliance devops practices involving data quality management data privacy compliance devops practices,False
E156,Terry Johnson,Cybersecurity,5.6,,Pune,"Worked on projects involving AWS, Incident Response, and Data Lake Implementation. Delivered solutions for insurance domain.",aws incident response data lake implementation involving aws incident response data lake implementation,Mid-Level,aws incident response data lake implementation involving aws incident response data lake implementation,False
E157,Angela Henry,Cybersecurity,2.2,,Delhi,"Worked on projects involving Serverless Architecture, Java, and Quantum Computing. Delivered solutions for retail domain.",serverless architecture java quantum computing involving serverless architecture java quantum computing,Junior,serverless architecture java quantum computing involving serverless architecture java quantum computing,False
E158,Richard Carson,Cloud Engineering,4.1,,Delhi,"Worked on projects involving Edge Computing, Network Security, and Data Mesh Architecture. Delivered solutions for finance domain.",edge computing network security data mesh architecture involving edge computing network security data mesh architecture,Mid-Level,edge computing network security data mesh architecture involving edge computing network security data mesh architecture,False
E159,John Walsh,AI Research,8.4,,Pune,"Worked on projects involving Network Security, Network Security, and Agile Project Management. Delivered solutions for healthcare domain.",network security network security agile management involving network security network security agile management,Senior,network security network security agile management involving network security network security agile management,False
E160,Caroline Gonzalez,AI Research,10.4,,Pune,"Worked on projects involving PostgreSQL, API Development, and Penetration Testing. Delivered solutions for healthcare domain.",postgresql api development penetration testing involving postgresql api development penetration testing,Senior,postgresql api development penetration testing involving postgresql api development penetration testing,False
E161,Kara Keith,Cloud Engineering,8.5,,Mumbai,"Worked on projects involving IoT, .Net, and React. Delivered solutions for telecom domain.",iot involving iot,Senior,iot involving iot,False
E162,Tracy Diaz,Cloud Engineering,14.5,,Pune,"Worked on projects involving Incident Response, Edge Computing, and Quantum Computing. Delivered solutions for insurance domain.",incident response edge computing quantum computing involving incident response edge computing quantum computing,Expert,incident response edge computing quantum computing involving incident response edge computing quantum computing,False
E163,James Mays,DevOps,13.9,,Delhi,"Worked on projects involving Cloud Security, Incident Response, and Data Warehousing. Delivered solutions for healthcare domain.",cloud security incident response data warehousing involving cloud security incident response data warehousing,Expert,cloud security incident response data warehousing involving cloud security incident response data warehousing,False
E164,John Thomas,Software Development,6.9,,Pune,"Worked on projects involving Microservices Architecture, Mobile Development, and Java. Delivered solutions for finance domain.",microservices architecture mobile development java involving microservices architecture mobile development java,Mid-Level,microservices architecture mobile development java involving microservices architecture mobile development java,False
E165,Derek Burnett,Cybersecurity,6.0,,Delhi,"Worked on projects involving NoSQL, Agile, and Data Quality Management. Delivered solutions for retail domain.",nosql agile data quality management involving nosql agile data quality management,Mid-Level,nosql agile data quality management involving nosql agile data quality management,False
E166,Justin Warren,Cybersecurity,2.1,,Chennai,"Worked on projects involving Machine Learning, Python, and Incident Response. Delivered solutions for healthcare domain.",machine learning python incident response involving machine learning python incident response,Junior,machine learning python incident response involving machine learning python incident response,False
E167,Jill Moore,Cloud Engineering,11.0,,Delhi,"Worked on projects involving Incident Response, React, and Cybersecurity. Delivered solutions for healthcare domain.",incident response react cybersecurity involving incident response react cybersecurity,Senior,incident response react cybersecurity involving incident response react cybersecurity,False
E168,Thomas Walker,Data Science,1.6,,Pune,"Worked on projects involving CI/CD, Quantum Computing, and GraphQL API Development. Delivered solutions for healthcare domain.",ci/cd quantum computing graphql api development involving ci/cd quantum computing graphql api development,Junior,ci/cd quantum computing graphql api development involving ci/cd quantum computing graphql api development,False
E169,Vincent Martinez,Cybersecurity,9.2,,Mumbai,"Worked on projects involving NoSQL, Java, and Robotic Process Automation. Delivered solutions for retail domain.",nosql java robotic process automation involving nosql java robotic process automation,Senior,nosql java robotic process automation involving nosql java robotic process automation,False
E170,Sandra Houston,Data Science,1.7,,Mumbai,"Worked on projects involving Data Governance, Data Engineering, and Big Data. Delivered solutions for retail domain.",data governance data engineering big data involving data governance data engineering big data,Junior,data governance data engineering big data involving data governance data engineering big data,False
E171,Todd Roberts,Data Science,12.8,,Delhi,"Worked on projects involving Cybersecurity, Edge Computing, and GraphQL. Delivered solutions for telecom domain.",cybersecurity edge computing graphql involving cybersecurity edge computing graphql,Expert,cybersecurity edge computing graphql involving cybersecurity edge computing graphql,False
E172,Christine Harris,Software Development,12.8,,Mumbai,"Worked on projects involving NLP, Big Data, and NoSQL Database Management. Delivered solutions for finance domain.",nlp big data nosql database management involving nlp big data nosql database management,Expert,nlp big data nosql database management involving nlp big data nosql database management,False
E173,Kendra Benson,Cloud Engineering,1.0,,Mumbai,"Worked on projects involving Python, Microservices Architecture, and Data Quality Management. Delivered solutions for healthcare domain.",python microservices architecture data quality management involving python microservices architecture data quality management,Junior,python microservices architecture data quality management involving python microservices architecture data quality management,False
E174,Mr. Michael Douglas PhD,Software Development,9.0,,Chennai,"Worked on projects involving Cloud Security, CI/CD Pipelines, and DevOps Practices. Delivered solutions for retail domain.",cloud security ci/cd pipelines devops practices involving cloud security ci/cd pipelines devops practices,Senior,cloud security ci/cd pipelines devops practices involving cloud security ci/cd pipelines devops practices,False
E175,Amanda Case,AI Research,9.1,,Delhi,"Worked on projects involving React, Microservices Architecture, and GraphQL API Development. Delivered solutions for telecom domain.",react microservices architecture graphql api development involving react microservices architecture graphql api development,Senior,react microservices architecture graphql api development involving react microservices architecture graphql api development,False
E176,Jasmine Blevins,Data Science,12.9,,Mumbai,"Worked on projects involving NoSQL Database Management, API Development, and Business Intelligence. Delivered solutions for telecom domain.",nosql database management api development business intelligence involving nosql database management api development business intelligence,Expert,nosql database management api development business intelligence involving nosql database management api development business intelligence,False
E177,Jenny Reed,AI Research,1.8,,Mumbai,"Worked on projects involving NoSQL Database Management, Docker, and Jenkins. Delivered solutions for finance domain.",nosql database management docker jenkins involving nosql database management docker jenkins,Junior,nosql database management docker jenkins involving nosql database management docker jenkins,False
E178,Robert Brandt,Software Development,4.8,,Pune,"Worked on projects involving Big Data, SQL Database Management, and .Net. Delivered solutions for retail domain.",big data sql database management involving big data sql database management,Mid-Level,big data sql database management involving big data sql database management,False
E179,Cassie Davis,Software Development,7.5,,Chennai,"Worked on projects involving TensorFlow, GraphQL, and Serverless Architecture. Delivered solutions for healthcare domain.",tensorflow graphql serverless architecture involving tensorflow graphql serverless architecture,Senior,tensorflow graphql serverless architecture involving tensorflow graphql serverless architecture,False
E180,David Ortega,Cybersecurity,5.7,,Pune,"Worked on projects involving Penetration Testing, AWS, and API Development. Delivered solutions for telecom domain.",penetration testing aws api development involving penetration testing aws api development,Mid-Level,penetration testing aws api development involving penetration testing aws api development,False
E181,Amy Miller,Data Science,12.6,,Delhi,"Worked on projects involving REST APIs, Cloud Security, and Java. Delivered solutions for retail domain.",rest apis cloud security java involving rest apis cloud security java,Expert,rest apis cloud security java involving rest apis cloud security java,False
E182,Benjamin Lewis,Software Development,14.8,,Mumbai,"Worked on projects involving NoSQL Database Management, TensorFlow, and Docker. Delivered solutions for healthcare domain.",nosql database management tensorflow docker involving nosql database management tensorflow docker,Expert,nosql database management tensorflow docker involving nosql database management tensorflow docker,False
E183,Sheila Combs,Cybersecurity,6.8,,Chennai,"Worked on projects involving NLP, Data Warehousing, and Data Privacy Compliance. Delivered solutions for insurance domain.",nlp data warehousing data privacy compliance involving nlp data warehousing data privacy compliance,Mid-Level,nlp data warehousing data privacy compliance involving nlp data warehousing data privacy compliance,False
E184,Brandon Davis,Data Science,6.6,,Mumbai,"Worked on projects involving Data Quality Management, SQL, and Java. Delivered solutions for insurance domain.",data quality management sql java involving data quality management sql java,Mid-Level,data quality management sql java involving data quality management sql java,False
E185,Victoria Lee,Cybersecurity,10.9,,Chennai,"Worked on projects involving Edge Computing, CI/CD Pipelines, and Azure. Delivered solutions for finance domain.",edge computing ci/cd pipelines azure involving edge computing ci/cd pipelines azure,Senior,edge computing ci/cd pipelines azure involving edge computing ci/cd pipelines azure,False
E186,Mark Anderson,DevOps,11.5,,Chennai,"Worked on projects involving Data Lake Implementation, Agile, and Robotic Process Automation. Delivered solutions for retail domain.",data lake implementation agile robotic process automation involving data lake implementation agile robotic process automation,Senior,data lake implementation agile robotic process automation involving data lake implementation agile robotic process automation,False
E187,Anne Daniel,Software Development,7.3,,Delhi,"Worked on projects involving Docker, DevOps Practices, and UI/UX Design. Delivered solutions for healthcare domain.",docker devops practices ui/ux design involving docker devops practices ui/ux design,Senior,docker devops practices ui/ux design involving docker devops practices ui/ux design,False
E188,Jacqueline Odom,DevOps,1.7,,Mumbai,"Worked on projects involving NLP, Microservices Architecture, and NoSQL Database Management. Delivered solutions for telecom domain.",nlp microservices architecture nosql database management involving nlp microservices architecture nosql database management,Junior,nlp microservices architecture nosql database management involving nlp microservices architecture nosql database management,False
E189,Renee Herman,DevOps,4.1,,Pune,"Worked on projects involving IoT, DevOps Practices, and SQL Database Management. Delivered solutions for insurance domain.",iot devops practices sql database management involving iot devops practices sql database management,Mid-Level,iot devops practices sql database management involving iot devops practices sql database management,False
E190,Matthew Haley,Cloud Engineering,10.8,,Delhi,"Worked on projects involving .Net, Data Governance, and CI/CD Pipelines. Delivered solutions for retail domain.",involving,Senior,involving,False
E191,Barbara Allen,Data Science,2.6,,Pune,"Worked on projects involving Network Security, Cloud Security, and Edge Computing. Delivered solutions for telecom domain.",network security cloud security edge computing involving network security cloud security edge computing,Junior,network security cloud security edge computing involving network security cloud security edge computing,False
E192,Jennifer Reese,DevOps,3.1,,Pune,"Worked on projects involving Azure, .Net, and TensorFlow. Delivered solutions for healthcare domain.",azure involving azure,Mid-Level,azure involving azure,False
E193,Julie Sanders,DevOps,10.9,,Mumbai,"Worked on projects involving NoSQL Database Management, Edge Computing, and IoT. Delivered solutions for insurance domain.",nosql database management edge computing iot involving nosql database management edge computing iot,Senior,nosql database management edge computing iot involving nosql database management edge computing iot,False
E194,Kerri Sutton,Software Development,4.4,,Pune,"Worked on projects involving CI/CD Pipelines, Network Security, and Jenkins. Delivered solutions for retail domain.",ci/cd pipelines network security jenkins involving ci/cd pipelines network security jenkins,Mid-Level,ci/cd pipelines network security jenkins involving ci/cd pipelines network security jenkins,False
E195,Shane Turner DDS,Cloud Engineering,4.6,,Pune,"Worked on projects involving GraphQL API Development, Terraform, and REST APIs. Delivered solutions for retail domain.",graphql api development terraform rest apis involving graphql api development terraform rest apis,Mid-Level,graphql api development terraform rest apis involving graphql api development terraform rest apis,False
E196,Bradley Bryant,DevOps,13.7,,Mumbai,"Worked on projects involving Robotic Process Automation, Java, and Serverless Architecture. Delivered solutions for insurance domain.",robotic process automation java serverless architecture involving robotic process automation java serverless architecture,Expert,robotic process automation java serverless architecture involving robotic process automation java serverless architecture,False
E197,Anthony Whitehead,Cloud Engineering,5.1,,Mumbai,"Worked on projects involving UI/UX Design, Healthcare Analytics, and Data Visualization. Delivered solutions for insurance domain.",ui/ux design healthcare analytics data visualization involving ui/ux design healthcare analytics data visualization,Mid-Level,ui/ux design healthcare analytics data visualization involving ui/ux design healthcare analytics data visualization,False
E198,Bailey Walter,DevOps,12.2,,Chennai,"Worked on projects involving Data Engineering, Data Governance, and Cybersecurity. Delivered solutions for retail domain.",data engineering data governance cybersecurity involving data engineering data governance cybersecurity,Expert,data engineering data governance cybersecurity involving data engineering data governance cybersecurity,False
E199,Donald Turner,Software Development,13.8,,Delhi,"Worked on projects involving Kubernetes, GraphQL API Development, and Penetration Testing. Delivered solutions for telecom domain.",kubernetes graphql api development penetration testing involving kubernetes graphql api development penetration testing,Expert,kubernetes graphql api development penetration testing involving kubernetes graphql api development penetration testing,False
E200,Cody Hamilton,Data Science,6.3,,Mumbai,"Worked on projects involving IoT, NLP, and Python. Delivered solutions for retail domain.",iot nlp python involving iot nlp python,Mid-Level,iot nlp python involving iot nlp python,False
E201,Reginald Watkins,Data Science,13.4,,Pune,"Worked on projects involving Agile Project Management, Penetration Testing, and Healthcare Analytics. Delivered solutions for finance domain.",agile management penetration testing healthcare analytics involving agile management penetration testing healthcare analytics,Expert,agile management penetration testing healthcare analytics involving agile management penetration testing healthcare analytics,False
E202,Travis Weaver,Data Science,8.2,,Pune,"Worked on projects involving Quantum Computing, Machine Learning, and Big Data. Delivered solutions for retail domain.",quantum computing machine learning big data involving quantum computing machine learning big data,Senior,quantum computing machine learning big data involving quantum computing machine learning big data,False
E203,Aaron James,AI Research,6.2,,Mumbai,"Worked on projects involving Mobile Development, Azure, and Container Orchestration. Delivered solutions for finance domain.",mobile development azure container orchestration involving mobile development azure container orchestration,Mid-Level,mobile development azure container orchestration involving mobile development azure container orchestration,False
E204,Patrick Moody,Cybersecurity,13.8,,Pune,"Worked on projects involving Data Warehousing, Python, and Real-time Data Processing. Delivered solutions for telecom domain.",data warehousing python real-time data processing involving data warehousing python real-time data processing,Expert,data warehousing python real-time data processing involving data warehousing python real-time data processing,False
E205,Tiffany Griffin,AI Research,3.8,,Delhi,"Worked on projects involving Blockchain, Big Data, and UI/UX Design. Delivered solutions for insurance domain.",blockchain big data ui/ux design involving blockchain big data ui/ux design,Mid-Level,blockchain big data ui/ux design involving blockchain big data ui/ux design,False
E206,Jacob Smith,Cloud Engineering,11.0,,Chennai,"Worked on projects involving PostgreSQL, UI/UX Design, and Cybersecurity. Delivered solutions for healthcare domain.",postgresql ui/ux design cybersecurity involving postgresql ui/ux design cybersecurity,Senior,postgresql ui/ux design cybersecurity involving postgresql ui/ux design cybersecurity,False
E207,Linda Flores,Software Development,7.5,,Chennai,"Worked on projects involving AWS, Docker, and CI/CD Pipelines. Delivered solutions for retail domain.",aws docker ci/cd pipelines involving aws docker ci/cd pipelines,Senior,aws docker ci/cd pipelines involving aws docker ci/cd pipelines,False
E208,Kimberly Townsend,Cybersecurity,7.9,,Chennai,"Worked on projects involving NLP, Microservices, and Robotic Process Automation. Delivered solutions for healthcare domain.",nlp microservices robotic process automation involving nlp microservices robotic process automation,Senior,nlp microservices robotic process automation involving nlp microservices robotic process automation,False
